HTFL Equity Schedule - Souma Sengupta
As of April 21 2026 | Prepared for 10b5-1 planning
,,,,,,
STARTING BALANCES,,,,,,
Category,Shares,,,,,
Brokerage (owned),31463,,,,,
Exercisable options,26659,,,,,
Total potential,58122,,,,,
,,,,,,
MONTHLY SCHEDULE,,,,,,
Month,New Options Vested,RSU Net Shares,Brokerage (Cumulative),Exercisable (Cumulative),Total Potential,Notes
Apr 2026 (baseline),0,0,31463,26659,58122,Starting balances
May 2026,962,1099,32562,27621,60183,RSU: 672 (Feb26 grant) + 427 (Aug25 grant)
Jun 2026,961,0,32562,28582,61144,
Jul 2026,962,0,32562,29544,62106,
Aug 2026,962,1101,33663,30506,64169,RSU: 673 + 428
Sep 2026,961,0,33663,31467,65130,ISO Lot A qualifies for LTCG (1680 shares @ $8.33)
Oct 2026,962,0,33663,32429,66092,ISO Lot B qualifies for LTCG (9258 shares @ $2.22)
Nov 2026,962,1101,34764,33391,68155,RSU: 673 + 428
Dec 2026,961,0,34764,34352,69116,Year-end 2026
Jan 2027,962,0,34764,35314,70078,
Feb 2027,962,1099,35863,36276,72139,RSU: 672 + 427
Mar 2027,961,0,35863,37237,73100,
Apr 2027,962,0,35863,38199,74062,
May 2027,962,1101,36964,39161,76125,RSU: 673 + 428
Jun 2027,961,0,36964,40122,77086,
Jul 2027,995,0,36964,41117,78081,LAST vest: $2.22 grant (389 final tranche)
Aug 2027,606,1101,38065,41723,79788,RSU: 673 + 428
Sep 2027,605,0,38065,42328,80393,
Oct 2027,606,0,38065,42934,80999,
Nov 2027,606,1099,39164,43540,82704,RSU: 672 + 427
Dec 2027,605,0,39164,44145,83309,Year-end 2027
Jan 2028,606,0,39164,44751,83915,
Feb 2028,606,1101,40265,45357,85622,RSU: 673 + 428
Mar 2028,605,0,40265,45962,86227,
Apr 2028,641,0,40265,46603,86868,LAST vest: $2.72 grant (391 final tranche)
May 2028,250,1100,41365,46853,88218,RSU: 673 + 427
Jun 2028,249,0,41365,47102,88467,
Jul 2028,250,0,41365,47352,88717,
Aug 2028,250,1100,42465,47602,90067,RSU: 672 + 428
Sep 2028,249,0,42465,47851,90316,
Oct 2028,250,0,42465,48101,90566,
Nov 2028,250,1101,43566,48351,91917,RSU: 673 + 428
Dec 2028,249,0,43566,48600,92166,Year-end 2028
Jan 2029,250,0,43566,48850,92416,
Feb 2029,250,1100,44666,49100,93766,RSU: 673 + 427
Mar 2029,249,0,44666,49349,94015,
Apr 2029,250,0,44666,49599,94265,
May 2029,250,1100,45766,49849,95615,RSU: 672 + 428
Jun 2029,249,0,45766,50098,95864,
Jul 2029,250,0,45766,50348,96114,
Aug 2029,250,1101,46867,50598,97465,LAST option vest (2025SOP); RSU: 673 + 428
Sep 2029,0,0,46867,50598,97465,
Oct 2029,0,0,46867,50598,97465,
Nov 2029,0,673,47540,50598,98138,RSU: Feb2026 grant only
Dec 2029,0,0,47540,50598,98138,
Jan 2030,0,0,47540,50598,98138,
Feb 2030,0,673,48213,50598,98811,FINAL RSU distribution - fully vested
,,,,,,
YEAR-END SUMMARY,,,,,,
Date,Brokerage,Exercisable Options,Total Potential,Annual Additions,
Apr 2026 (now),31463,26659,58122,,
Dec 2026,34764,34352,69116,10994,
Dec 2027,39164,44145,83309,14193,
Dec 2028,43566,48600,92166,8857,
Feb 2030 (final),48213,50598,98811,6645,
,,,,,,
GRANT DETAIL,,,,,,
Grant,Strike,Total Granted,Exercisable Now,Future Vesting,Vesting Ends,Expires
2025SOP (NSO),19.00,11984,1997,9987,Aug 2029,Aug 2035
2009SOP (ISO),2.72,17123,8544,8579,Apr 2028,May 2034
2009SOP (ISO),2.22,14269,2492,5373,Jul 2027,Jul 2033
2009SOP (NSO) - fully vested,8.33,7278,7278,0,Fully vested,Apr 2031
2009SOP (NSO) - fully vested,8.33,2995,2995,0,Fully vested,Apr 2031
2009SOP (NSO) - fully vested,8.33,1712,1712,0,Fully vested,Sep 2029
2009SOP (NSO) - fully vested,8.33,721,721,0,Fully vested,Apr 2030
2009SOP (NSO) - fully vested,8.33,630,630,0,Fully vested,Apr 2031
2009SOP (NSO) - fully vested,8.33,259,259,0,Fully vested,Apr 2031
2009SOP (NSO) - fully vested,8.33,31,31,0,Fully vested,Apr 2030
Options Total,,63280,26659,23939,,
,,,,,,
